Date, Open, High, Low, Close, Volume
03/13/26, 249.26, 250.61, 245.535, 246.59, 53933301
03/12/26, 248.94, 249.805, 246.575, 247.41, 61802941
03/11/26, 252.34, 254.38, 250.58, 252.85, 50418070
03/10/26, 252.96, 257.65, 252.40, 253.36, 55879102
03/09/26, 247.59, 254.65, 244.39, 253.62, 65369512
03/06/26, 251.49, 253.2999, 249.94, 250.89, 64191992
03/05/26, 258.99, 260.755, 254.16, 256.76, 60414633
03/04/26, 261.20, 262.96, 258.82, 261.76, 37979727
03/03/26, 256.80, 261.12, 253.31, 259.24, 59536969
03/02/26, 257.81, 264.28, 257.79, 263.81, 53495719
02/27/26, 262.095, 262.76, 259.77, 261.41, 40631480
02/26/26, 265.01, 266.235, 262.12, 265.99, 41206473
02/25/26, 265.25, 265.2814, 262.43, 264.58, 26012141
02/24/26, 260.40, 264.14, 259.86, 263.33, 34884238
02/23/26, 263.40, 264.37, 258.10, 260.49, 44001078
02/20/26, 262.85, 267.33, 262.14, 264.61, 47126578
02/19/26, 262.57, 264.64, 261.075, 264.60, 31005949
02/18/26, 263.03, 266.91, 261.85, 263.99, 36034688
02/17/26, 262.375, 264.36, 259.06, 263.04, 33734781
02/13/26, 260.60, 265.17, 258.51, 262.96, 45360320
02/12/26, 267.02, 267.46, 258.39, 259.54, 47628168
02/11/26, 268.47, 268.96, 262.10, 264.95, 41829434
02/10/26, 267.23, 268.52, 265.88, 266.16, 24661660
02/09/26, 264.84, 267.67, 263.34, 266.88, 29064850
02/06/26, 259.74, 265.72, 259.58, 265.02, 43354859
02/05/26, 258.50, 261.62, 255.05, 255.83, 48279641
02/04/26, 264.16, 264.65, 257.14, 260.52, 48826551
02/03/26, 263.06, 265.0599, 258.551, 262.78, 54588008
02/02/26, 258.48, 263.77, 258.35, 262.18, 42896191
01/30/26, 261.07, 262.98, 257.94, 259.65, 59164152
01/29/26, 264.07, 265.06, 259.41, 263.37, 43922930
01/28/26, 265.98, 266.675, 262.56, 263.30, 37139121
01/27/26, 264.05, 264.86, 262.66, 264.73, 26975520
01/26/26, 265.07, 266.69, 263.49, 263.98, 32119330
01/23/26, 269.04, 269.05, 264.46, 264.81, 42636688
01/22/26, 269.83, 271.595, 269.42, 269.79, 35110781
01/21/26, 264.64, 268.59, 262.92, 267.79, 59952801
01/20/26, 261.14, 265.0799, 261.06, 262.58, 47911488
01/16/26, 265.865, 267.215, 264.71, 265.76, 33844879
01/15/26, 264.06, 267.045, 263.73, 265.51, 33465211
01/14/26, 261.13, 263.46, 260.19, 263.19, 37164301
01/13/26, 262.405, 262.885, 260.46, 261.35, 33882359
01/12/26, 259.28, 261.66, 258.24, 261.50, 28423359
01/09/26, 259.58, 261.56, 258.09, 260.23, 36301551
