Date, Open, High, Low, Close, Volume
03/13/26, 599.73, 603.5999, 592.57, 593.72, 63145488
03/12/26, 602.76, 604.14, 597.05, 597.26, 71836633
03/11/26, 608.95, 612.43, 605.03, 607.69, 60114801
03/10/26, 607.78, 613.29, 605.42, 607.77, 64078871
03/09/26, 594.225, 609.27, 591.33, 607.76, 93068172
03/06/26, 600.31, 606.00, 598.33, 599.75, 86302312
03/05/26, 607.40, 612.76, 602.26, 608.91, 89602406
03/04/26, 604.16, 612.88, 603.43, 610.75, 70943891
03/03/26, 596.33, 603.96, 591.87, 601.58, 97015531
03/02/26, 598.86, 609.92, 597.99, 608.09, 75264641
02/27/26, 602.98, 608.32, 602.19, 607.29, 68125203
02/26/26, 615.59, 615.59, 603.98, 609.24, 96178875
02/25/26, 611.07, 616.83, 611.00, 616.68, 55710648
02/24/26, 602.40, 608.99, 599.73, 607.87, 55023727
02/23/26, 606.605, 608.01, 599.05, 601.41, 63859113
02/20/26, 600.12, 610.35, 599.23, 608.81, 74127320
02/19/26, 602.81, 605.815, 600.75, 603.47, 60960840
02/18/26, 602.11, 609.771, 600.72, 605.79, 64250672
02/17/26, 598.375, 603.95, 593.34, 601.30, 69013758
02/13/26, 600.43, 606.48, 596.42, 601.92, 69237555
02/12/26, 614.71, 615.81, 599.5699, 600.64, 81378898
02/11/26, 616.38, 617.52, 607.69, 613.11, 58575102
02/10/26, 615.305, 617.02, 611.01, 611.47, 53938859
02/09/26, 607.54, 616.46, 605.07, 614.32, 56797559
02/06/26, 600.19, 611.41, 598.77, 609.65, 78019344
02/05/26, 600.21, 604.81, 594.76, 597.03, 89354484
02/04/26, 615.02, 615.10, 600.47, 605.75, 81850750
02/03/26, 628.30, 629.98, 610.96, 616.52, 81233969
02/02/26, 618.70, 628.49, 618.66, 626.14, 49020289
01/30/26, 625.71, 628.256, 619.2975, 621.87, 65650711
01/29/26, 632.65, 633.67, 618.27, 629.43, 79944047
01/28/26, 635.46, 636.60, 631.81, 633.22, 50691688
01/27/26, 628.91, 632.0427, 627.34, 631.13, 38997207
01/26/26, 623.21, 627.61, 622.12, 625.46, 35983008
01/23/26, 619.73, 625.3999, 618.65, 622.72, 43645832
01/22/26, 622.35, 622.46, 617.78, 620.76, 42254762
01/21/26, 609.47, 620.42, 607.8635, 616.28, 79837883
01/20/26, 610.53, 615.055, 607.05, 608.06, 81988898
01/16/26, 625.50, 626.08, 618.88, 621.26, 61058090
01/15/26, 626.60, 630.00, 620.75, 621.78, 53934887
01/14/26, 622.24, 623.45, 614.56, 619.55, 72598703
01/13/26, 627.27, 629.47, 623.695, 626.24, 44481379
01/12/26, 622.31, 628.845, 622.26, 627.17, 37388648
01/09/26, 621.41, 627.89, 619.06, 626.65, 49688727
01/08/26, 623.03, 623.42, 617.80, 620.47, 50435941
01/07/26, 623.04, 627.94, 622.56, 624.02, 44880340
01/06/26, 619.23, 624.0213, 618.54, 623.42, 43137520
01/05/26, 619.32, 620.81, 616.72, 617.99, 46828359
01/02/26, 620.06, 622.85, 610.15, 613.12, 61859160
12/31/25, 619.65, 619.96, 614.05, 614.31, 40746527
12/30/25, 619.84, 622.18, 619.215, 619.43, 31226750
12/29/25, 620.10, 622.78, 618.73, 620.87, 32458311
12/26/25, 624.66, 625.515, 623.14, 623.89, 28959779
12/24/25, 621.99, 624.28, 621.72, 623.93, 18468711
12/23/25, 618.20, 622.41, 617.78, 622.11, 41120449
12/22/25, 621.35, 621.65, 617.77, 619.21, 43703102
12/19/25, 611.95, 617.62, 611.87, 617.05, 60369832
12/18/25, 609.80, 612.93, 606.92, 609.11, 78875820
12/17/25, 613.06, 613.65, 600.28, 600.41, 70654328
12/16/25, 608.26, 613.51, 606.9101, 611.75, 55152820
12/15/25, 618.37, 618.42, 609.32, 610.54, 49538199
12/12/25, 622.08, 623.54, 611.36, 613.62, 75158727
12/11/25, 623.82, 625.78, 617.72, 625.58, 58272840
12/10/25, 623.85, 629.21, 620.99, 627.61, 55031379
12/09/25, 623.01, 625.87, 621.00, 625.05, 37156000
12/08/25, 627.21, 628.84, 621.69, 624.28, 43462406
12/05/25, 624.38, 628.92, 623.71, 625.48, 53614168
12/04/25, 624.93, 624.94, 619.54, 622.94, 47067754
12/03/25, 619.62, 624.22, 618.03, 623.52, 47841633
12/02/25, 619.46, 623.75, 617.59, 622.00, 54541832
12/01/25, 613.63, 619.44, 612.52, 617.17, 40390800
11/28/25, 616.11, 619.32, 615.417, 619.25, 23019700
11/26/25, 612.51, 616.19, 610.39, 614.27, 42393602
11/25/25, 603.51, 610.2601, 597.32, 608.89, 57560871
11/24/25, 595.28, 606.68, 595.16, 605.16, 60168152
11/21/25, 587.47, 596.98, 580.74, 590.07, 103344203
11/20/25, 611.62, 614.03, 584.75, 585.67, 117743203
11/19/25, 597.07, 606.16, 594.59, 599.87, 73111484
11/18/25, 599.62, 602.31, 591.34, 596.31, 83327281
11/17/25, 606.30, 612.48, 599.87, 603.66, 63850367
11/14/25, 599.55, 613.35, 597.17, 608.86, 80087289
11/13/25, 617.54, 618.12, 606.08, 608.40, 71333633
11/12/25, 624.84, 624.86, 617.81, 621.08, 47444379
11/11/25, 620.57, 622.72, 617.52, 621.57, 44868840
11/10/25, 618.92, 624.31, 616.89, 623.23, 55919930
11/07/25, 608.31, 609.95, 598.67, 609.74, 81835391
11/06/25, 621.79, 622.04, 610.30, 611.67, 72115125
11/05/25, 618.49, 626.60, 617.21, 623.28, 48688480
11/04/25, 623.28, 626.95, 618.455, 619.25, 63830770
11/03/25, 635.11, 635.82, 629.85, 632.08, 37154312
10/31/25, 634.17, 634.20, 626.69, 629.07, 66305148
10/30/25, 632.17, 633.50, 625.94, 626.05, 61628621
10/29/25, 635.59, 637.01, 630.25, 635.77, 67422805
10/28/25, 630.36, 634.68, 629.25, 632.92, 61195727
10/27/25, 624.52, 628.55, 624.03, 628.09, 54098609
10/24/25, 615.99, 618.42, 615.13, 617.10, 47632473
10/23/25, 604.91, 611.37, 604.52, 610.58, 42844301
10/22/25, 610.82, 611.41, 599.74, 605.49, 61478801
10/21/25, 611.64, 612.7213, 609.32, 611.38, 44538160
10/20/25, 607.14, 612.80, 607.065, 611.54, 45761699
10/17/25, 597.95, 605.51, 596.37, 603.93, 72024875
10/16/25, 605.11, 608.31, 595.50, 599.99, 70981961
10/15/25, 604.01, 606.70, 595.93, 602.22, 62805461
10/14/25, 595.31, 602.69, 590.13, 598.00, 69203195
10/13/25, 599.68, 602.95, 597.23, 602.01, 65872578
10/10/25, 611.40, 613.18, 589.05, 589.50, 97614781
10/09/25, 611.48, 611.61, 607.48, 610.70, 45550961
10/08/25, 605.41, 611.75, 605.26, 611.44, 50629754
10/07/25, 609.02, 609.71, 603.03, 604.51, 58209461
10/06/25, 608.45, 609.36, 605.97, 607.71, 41962121
10/03/25, 606.51, 607.3255, 601.385, 603.18, 46482102
10/02/25, 607.06, 607.16, 602.93, 605.73, 43765406
10/01/25, 597.17, 603.79, 596.34, 603.25, 46899609
09/30/25, 598.43, 600.71, 596.10, 600.37, 46533809
09/29/25, 599.11, 602.05, 597.41, 598.73, 48332930
09/26/25, 594.35, 596.30, 591.06, 595.97, 54337422
09/25/25, 592.20, 595.115, 588.50, 593.53, 70920211
09/24/25, 599.58, 599.90, 593.36, 596.10, 49850301
09/23/25, 602.37, 602.57, 596.98, 598.20, 64635488
09/22/25, 597.74, 602.87, 597.72, 602.20, 57154770
09/19/25, 597.33, 600.05, 595.85, 599.35, 58196113
09/18/25, 594.91, 598.14, 592.96, 595.32, 61069289
09/17/25, 591.10, 591.75, 584.365, 590.00, 69384812
09/16/25, 592.61, 592.86, 590.49, 591.18, 36942129
