Date, Open, High, Low, Close, Volume
04/21/26, 82.34, 82.45, 81.735, 81.84, 8710389
04/20/26, 82.55, 82.95, 82.075, 82.39, 9430765
04/17/26, 81.32, 82.54, 81.15, 82.46, 12252140
04/16/26, 80.99, 81.795, 80.87, 81.43, 13278980
04/15/26, 81.225, 81.32, 80.455, 81.06, 10893650
04/14/26, 81.055, 81.75, 80.71, 81.47, 11577700
04/13/26, 82.135, 82.27, 81.065, 81.55, 9981187
04/10/26, 83.38, 83.41, 82.14, 82.37, 12097040
04/09/26, 82.24, 83.6393, 82.06, 83.45, 11716170
04/08/26, 81.245, 82.80, 80.97, 82.78, 12645910
04/07/26, 82.46, 82.535, 81.10, 81.26, 13331210
04/06/26, 81.86, 82.685, 81.61, 82.66, 9796731
04/02/26, 81.71, 81.98, 81.16, 81.89, 20709750
04/01/26, 81.72, 81.865, 80.92, 81.46, 29643420
03/31/26, 82.00, 82.27, 81.145, 81.98, 19522740
03/30/26, 81.905, 82.605, 81.63, 81.88, 15855680
03/27/26, 81.27, 82.3151, 80.99, 81.78, 25942471
03/26/26, 81.48, 82.23, 81.065, 81.14, 14148370
03/25/26, 81.425, 81.63, 80.51, 81.51, 17648240
03/24/26, 80.80, 82.0257, 80.63, 81.11, 14830410
03/23/26, 81.78, 81.83, 80.98, 81.18, 21027369
03/20/26, 82.11, 82.31, 81.06, 81.29, 20895850
03/19/26, 82.62, 83.00, 81.83, 81.97, 18581350
03/18/26, 84.01, 84.03, 82.60, 82.64, 19412680
03/17/26, 85.40, 85.675, 84.64, 84.70, 12225080
03/16/26, 85.21, 85.46, 84.815, 84.98, 12882770
03/13/26, 84.71, 85.11, 84.56, 84.74, 13103770
03/12/26, 83.92, 84.965, 83.69, 84.25, 17862061
03/11/26, 85.55, 85.605, 84.205, 84.59, 18432221
03/10/26, 85.69, 86.485, 85.16, 85.72, 18864881
03/09/26, 85.27, 86.16, 84.80, 85.97, 20729350
03/06/26, 84.92, 85.85, 84.62, 85.78, 25859670
03/05/26, 86.34, 86.44, 85.06, 85.41, 33740480
03/04/26, 87.81, 87.96, 86.93, 87.16, 22736400
03/03/26, 88.35, 88.51, 87.155, 87.74, 36852809
03/02/26, 89.44, 89.79, 88.69, 88.71, 27606670
02/27/26, 88.98, 90.06, 88.96, 90.01, 17314170
02/26/26, 89.26, 89.6403, 88.59, 88.86, 15925870
02/25/26, 89.34, 89.46, 88.315, 89.01, 15215600
02/24/26, 88.96, 89.78, 88.76, 89.74, 20363990
02/23/26, 87.68, 89.17, 87.68, 88.97, 22070900
02/20/26, 87.67, 87.95, 87.175, 87.89, 17909420
02/19/26, 88.00, 88.695, 87.37, 87.67, 18447520
02/18/26, 87.93, 88.52, 87.62, 88.04, 20422250
02/17/26, 89.63, 90.14, 87.65, 88.20, 29819270
02/13/26, 89.05, 90.00, 88.62, 89.51, 25649730
02/12/26, 88.49, 90.055, 88.485, 89.21, 35282832
02/11/26, 86.99, 88.71, 86.73, 88.40, 25588301
02/10/26, 87.33, 87.83, 86.82, 87.15, 20908490
02/09/26, 87.91, 88.22, 86.88, 87.43, 21853930
02/06/26, 86.85, 88.09, 86.70, 87.94, 29568631
02/05/26, 87.58, 87.635, 86.47, 86.92, 38772871
02/04/26, 86.32, 87.345, 86.215, 86.99, 33748059
02/03/26, 84.12, 86.34, 84.06, 85.87, 33052469
02/02/26, 83.76, 84.66, 83.29, 84.50, 26041721
01/30/26, 82.18, 83.51, 82.03, 83.51, 18175080
01/29/26, 82.36, 82.85, 82.005, 82.13, 18799490
01/28/26, 83.00, 83.40, 81.95, 82.32, 16303220
01/27/26, 82.76, 83.235, 82.4506, 83.16, 13532590
01/26/26, 83.05, 83.33, 82.635, 82.78, 13187980
01/23/26, 82.38, 82.94, 82.31, 82.91, 20185699
01/22/26, 82.34, 82.565, 82.045, 82.27, 15777450
01/21/26, 82.17, 82.57, 81.655, 82.44, 23029189
01/20/26, 81.95, 82.558, 81.445, 82.36, 19888990
01/16/26, 82.15, 82.28, 81.715, 82.11, 23754641
01/15/26, 82.10, 82.51, 81.85, 82.37, 29123680
01/14/26, 81.08, 82.35, 81.05, 82.23, 32494170
01/13/26, 80.21, 81.19, 80.21, 81.11, 26284160
01/12/26, 79.53, 80.2699, 79.255, 80.18, 26411170
01/09/26, 78.43, 79.335, 78.37, 79.25, 18234000
01/08/26, 76.61, 78.73, 76.51, 78.44, 26260240
01/07/26, 77.56, 77.69, 76.60, 76.62, 18977230
01/06/26, 77.34, 77.685, 77.135, 77.47, 17108359
01/05/26, 77.56, 77.57, 76.755, 77.35, 23429670
01/02/26, 77.71, 77.97, 77.30, 77.69, 15968650
12/31/25, 77.99, 78.12, 77.67, 77.68, 5872235
12/30/25, 78.10, 78.3288, 78.04, 78.15, 5610878
12/29/25, 78.17, 78.48, 78.165, 78.28, 9242522
12/26/25, 78.04, 78.41, 77.9718, 78.23, 8761343
12/24/25, 77.55, 78.185, 77.545, 78.12, 4697107
12/23/25, 77.81, 77.82, 77.38, 77.51, 7638467
12/22/25, 77.97, 78.195, 77.725, 77.88, 10983570
12/19/25, 79.12, 79.155, 78.755, 78.78, 13142420
12/18/25, 79.33, 79.82, 79.14, 79.19, 12117090
12/17/25, 79.39, 79.875, 79.35, 79.65, 14268440
