Date, Open, High, Low, Close, Volume
04/21/26, 45.91, 45.95, 44.91, 44.95, 19596910
04/20/26, 46.12, 46.335, 45.65, 45.75, 14376080
04/17/26, 46.23, 46.28, 45.64, 46.16, 17601520
04/16/26, 46.00, 46.37, 45.835, 46.35, 26945430
04/15/26, 46.31, 46.315, 45.88, 46.02, 24843891
04/14/26, 46.40, 46.56, 45.90, 46.47, 25118650
04/13/26, 46.84, 46.8785, 46.12, 46.39, 17795660
04/10/26, 47.06, 47.455, 46.865, 46.96, 15052060
04/09/26, 46.66, 47.705, 46.62, 47.15, 23274641
04/08/26, 46.29, 46.78, 45.98, 46.78, 18879730
04/07/26, 46.06, 46.43, 46.04, 46.27, 13657010
04/06/26, 46.145, 46.4965, 46.09, 46.17, 12939530
04/02/26, 46.04, 46.59, 45.9099, 46.34, 17331811
04/01/26, 45.78, 46.28, 45.695, 46.11, 31185119
03/31/26, 45.85, 45.9498, 45.26, 45.89, 42852762
03/30/26, 46.17, 46.335, 45.755, 45.92, 28363609
03/27/26, 45.37, 46.075, 45.30, 45.59, 26172881
03/26/26, 45.24, 45.48, 45.015, 45.33, 19988000
03/25/26, 45.52, 45.645, 45.21, 45.25, 22297381
03/24/26, 44.56, 45.5351, 44.485, 45.09, 24184029
03/23/26, 44.93, 45.1853, 44.57, 44.78, 31574260
03/20/26, 46.46, 46.66, 44.43, 44.65, 47128273
03/19/26, 46.65, 46.90, 46.04, 46.54, 29543971
03/18/26, 46.95, 47.15, 46.73, 46.73, 31063490
03/17/26, 47.52, 47.635, 47.08, 47.13, 18502260
03/16/26, 47.45, 47.50, 46.95, 47.26, 19775449
03/13/26, 46.97, 47.315, 46.86, 46.96, 31521020
03/12/26, 46.00, 47.0401, 45.96, 46.50, 27419891
03/11/26, 46.50, 46.56, 46.00, 46.17, 20026061
03/10/26, 46.64, 47.035, 46.47, 46.56, 24936289
03/09/26, 46.56, 46.95, 46.04, 46.85, 27759000
03/06/26, 46.63, 46.96, 46.34, 46.74, 25001689
03/05/26, 46.95, 47.02, 46.47, 46.90, 29797279
03/04/26, 47.09, 47.42, 46.76, 47.27, 24020801
03/03/26, 46.70, 47.45, 45.955, 47.07, 60946641
03/02/26, 47.41, 47.74, 47.355, 47.37, 33087309
02/27/26, 47.20, 47.80, 47.13, 47.73, 39759621
02/26/26, 47.27, 47.39, 46.914, 47.18, 30578631
02/25/26, 47.21, 47.43, 46.595, 47.36, 22356561
02/24/26, 46.64, 47.23, 46.29, 47.20, 29503270
02/23/26, 46.47, 46.96, 46.37, 46.68, 33130879
02/20/26, 46.30, 46.485, 45.88, 46.33, 22623160
02/19/26, 45.78, 46.18, 45.68, 46.11, 24172480
02/18/26, 46.61, 46.61, 45.51, 45.61, 32841512
02/17/26, 46.80, 47.075, 46.24, 46.38, 32423971
02/13/26, 45.20, 46.60, 45.195, 46.50, 42451801
02/12/26, 44.79, 45.74, 44.74, 45.25, 45623352
02/11/26, 44.36, 44.625, 44.135, 44.59, 25614770
02/10/26, 43.75, 44.53, 43.555, 44.20, 34683594
02/09/26, 43.37, 43.55, 43.055, 43.48, 21173949
02/06/26, 43.49, 43.86, 42.975, 43.35, 30530070
02/05/26, 43.22, 43.3687, 42.865, 43.10, 31475410
02/04/26, 43.47, 43.65, 42.99, 43.08, 30994260
02/03/26, 42.66, 43.42, 42.66, 43.24, 35525500
02/02/26, 43.30, 43.475, 42.55, 42.62, 32847559
01/30/26, 43.23, 43.375, 42.77, 43.25, 27998369
01/29/26, 43.51, 43.77, 43.08, 43.33, 27417869
01/28/26, 43.50, 43.665, 43.13, 43.33, 25183570
01/27/26, 42.82, 43.545, 42.595, 43.43, 31070500
01/26/26, 42.70, 43.18, 42.66, 42.87, 19254039
01/23/26, 42.71, 42.75, 42.30, 42.56, 26527230
01/22/26, 43.20, 43.27, 42.6043, 42.71, 26170689
01/21/26, 43.305, 43.305, 42.69, 43.02, 33736461
01/20/26, 43.12, 43.355, 42.825, 42.96, 25300850
01/16/26, 43.17, 43.52, 42.935, 43.39, 27803619
01/15/26, 43.32, 43.8185, 43.32, 43.61, 21762740
01/14/26, 42.81, 43.3199, 42.765, 43.17, 21403070
01/13/26, 42.62, 42.96, 42.415, 42.85, 22207350
01/12/26, 42.38, 42.71, 42.295, 42.58, 16810600
01/09/26, 42.52, 42.885, 42.49, 42.51, 21518260
01/08/26, 41.82, 42.29, 41.81, 41.99, 22853330
01/07/26, 42.95, 42.97, 41.74, 41.87, 27613330
01/06/26, 42.75, 42.955, 42.52, 42.91, 21861779
01/05/26, 43.19, 43.29, 42.0649, 42.70, 27884410
01/02/26, 42.89, 43.39, 42.659, 43.18, 20495359
12/31/25, 42.97, 43.01, 42.68, 42.69, 10129010
12/30/25, 42.88, 43.035, 42.812, 42.96, 9255258
12/29/25, 42.81, 43.11, 42.77, 42.86, 12838730
12/26/25, 42.79, 42.87, 42.632, 42.78, 8436715
12/24/25, 42.61, 42.86, 42.55, 42.81, 5761034
12/23/25, 42.40, 42.745, 42.38, 42.62, 15097710
12/22/25, 42.29, 42.53, 42.032, 42.47, 17894920
12/19/25, 43.12, 43.37, 42.60, 42.63, 22611971
12/18/25, 43.03, 43.415, 42.97, 43.18, 21935760
12/17/25, 43.06, 43.14, 42.54, 42.76, 19444600
12/16/25, 43.20, 43.31, 42.78, 43.04, 19067869
12/15/25, 43.11, 43.29, 42.83, 43.22, 19176439
12/12/25, 43.17, 43.3789, 42.77, 42.83, 17179820
12/11/25, 42.65, 43.15, 42.65, 43.04, 18703289
12/10/25, 42.80, 42.825, 42.415, 42.73, 25940250
12/09/25, 42.95, 43.17, 42.73, 42.75, 24347240
12/08/25, 43.38, 43.41, 42.66, 42.72, 21607859
12/05/25, 43.72, 43.78, 43.28, 43.30, 13474680
12/04/25, 43.775, 44.06, 43.56, 43.71, 15535178
12/03/25, 43.975, 44.10, 43.6275, 43.80, 21727920
12/02/25, 44.46, 44.46, 43.8825, 43.94, 17384114
12/01/25, 45.06, 45.06, 44.23, 44.255, 26276000
11/28/25, 45.07, 45.35, 45.0225, 45.315, 7869160
11/26/25, 44.6425, 45.0475, 44.56, 44.995, 16759198
11/25/25, 44.69, 44.76, 44.2225, 44.405, 22195600
11/24/25, 44.14, 44.69, 43.8625, 44.575, 23572720
11/21/25, 44.195, 44.25, 43.76, 44.075, 28589340
11/20/25, 44.585, 44.86, 43.98, 44.01, 25543200
11/19/25, 44.645, 44.77, 44.14, 44.235, 25095520
11/18/25, 44.82, 45.035, 44.595, 44.61, 25158720
11/17/25, 44.465, 44.93, 44.42, 44.78, 24201420
11/14/25, 44.2125, 44.72, 44.11, 44.38, 20168800
11/13/25, 44.845, 44.845, 44.305, 44.34, 20675360
11/12/25, 44.885, 44.9975, 44.71, 44.96, 15018498
11/11/25, 44.85, 45.0313, 44.6025, 44.855, 14435302
11/10/25, 44.975, 45.18, 44.445, 44.83, 17947188
11/07/25, 44.05, 44.855, 44.05, 44.845, 24337620
11/06/25, 44.345, 44.68, 44.2075, 44.23, 23668740
11/05/25, 44.405, 44.635, 44.22, 44.425, 16859086
11/04/25, 44.555, 44.59, 44.2225, 44.415, 17156732
11/03/25, 44.515, 44.70, 44.055, 44.575, 22339700
10/31/25, 44.66, 44.79, 44.315, 44.55, 18434786
10/30/25, 45.00, 45.425, 44.8425, 44.86, 18870878
10/29/25, 45.06, 45.355, 44.865, 45.05, 24271720
10/28/25, 45.985, 45.985, 45.01, 45.065, 20661480
10/27/25, 45.695, 45.8625, 45.2575, 45.82, 16042784
10/24/25, 45.425, 45.92, 45.38, 45.695, 21737520
10/23/25, 45.495, 45.52, 44.915, 45.165, 16134056
10/22/25, 45.405, 45.43, 44.9862, 45.20, 19109164
10/21/25, 45.815, 45.87, 45.085, 45.305, 22107880
10/20/25, 46.135, 46.245, 45.595, 45.77, 25420820
10/17/25, 46.03, 46.095, 45.59, 45.785, 21825880
10/16/25, 46.59, 46.885, 45.935, 45.945, 29118920
10/15/25, 46.055, 46.59, 46.055, 46.45, 19087588
10/14/25, 45.365, 46.00, 45.29, 45.85, 17572126
10/13/25, 45.13, 45.655, 45.11, 45.445, 18760534
10/10/25, 45.435, 45.685, 45.05, 45.10, 23183820
10/09/25, 45.55, 45.685, 45.195, 45.285, 21557460
10/08/25, 45.41, 45.465, 45.0625, 45.40, 19791128
10/07/25, 45.07, 45.285, 44.9501, 45.09, 32901840
10/06/25, 44.715, 44.935, 44.41, 44.885, 20024220
10/03/25, 44.08, 44.865, 44.045, 44.455, 25133860
10/02/25, 43.91, 43.96, 43.62, 43.945, 22649200
10/01/25, 43.69, 44.12, 43.635, 44.025, 29195460
09/30/25, 43.5825, 43.7725, 43.2925, 43.605, 21959960
09/29/25, 43.385, 43.60, 43.08, 43.53, 17130776
09/26/25, 42.855, 43.4175, 42.815, 43.405, 16234438
09/25/25, 43.085, 43.175, 42.7075, 42.71, 18689980
09/24/25, 42.90, 43.20, 42.775, 43.125, 17317612
09/23/25, 42.535, 42.8875, 42.455, 42.82, 17900654
09/22/25, 42.21, 42.6925, 42.11, 42.60, 19476938
09/19/25, 42.31, 42.645, 42.085, 42.475, 20974820
09/18/25, 42.10, 42.475, 41.91, 42.205, 25303240
09/17/25, 42.345, 42.5325, 42.0875, 42.175, 20168260
09/16/25, 42.775, 42.79, 42.05, 42.07, 21652720
09/15/25, 42.755, 43.05, 42.7525, 42.85, 22819160
09/12/25, 42.415, 42.875, 42.34, 42.75, 18727096
09/11/25, 42.255, 42.565, 42.195, 42.535, 24265220
09/10/25, 41.745, 42.3775, 41.7445, 42.31, 32168800
09/09/25, 41.30, 41.7325, 41.2225, 41.595, 25741440
09/08/25, 41.76, 41.78, 41.15, 41.31, 28470220
09/05/25, 41.975, 42.0725, 41.405, 41.735, 27006800
09/04/25, 42.21, 42.32, 41.6425, 41.865, 22362120
09/03/25, 41.875, 41.995, 41.6901, 41.915, 17267918
09/02/25, 42.00, 42.07, 41.755, 42.02, 20655820
08/29/25, 42.29, 42.38, 42.0925, 42.16, 19469376
08/28/25, 42.67, 42.685, 42.25, 42.315, 16078810
08/27/25, 42.63, 42.74, 42.5075, 42.64, 16821454
08/26/25, 42.575, 42.7225, 42.3775, 42.63, 17262924
08/25/25, 42.875, 43.00, 42.49, 42.535, 16982452
08/22/25, 43.085, 43.27, 42.8925, 43.02, 19234768
08/21/25, 43.09, 43.31, 42.6675, 42.79, 16230212
08/20/25, 43.11, 43.36, 42.9299, 43.085, 20169300
08/19/25, 42.64, 43.0575, 42.565, 43.04, 16436756
08/18/25, 42.875, 43.035, 42.565, 42.625, 16080328
08/15/25, 42.87, 43.045, 42.545, 42.81, 29577140
08/14/25, 43.075, 43.205, 42.89, 42.935, 18747826
08/13/25, 43.20, 43.265, 42.835, 43.235, 22425980
08/12/25, 43.095, 43.15, 42.7567, 43.14, 20757020
08/11/25, 43.20, 43.2314, 42.745, 42.955, 19548908
08/08/25, 43.395, 43.4725, 42.985, 43.09, 18445194
08/07/25, 42.67, 43.395, 42.59, 43.275, 25702720
08/06/25, 43.26, 43.2725, 42.7725, 42.81, 23020620
08/05/25, 43.675, 43.8325, 43.065, 43.195, 21454480
08/04/25, 43.11, 43.78, 43.02, 43.66, 25730760
08/01/25, 42.785, 43.13, 42.455, 42.90, 35852058
07/31/25, 42.475, 42.90, 42.44, 42.835, 30179520
07/30/25, 42.415, 42.985, 42.375, 42.605, 27425000
07/29/25, 41.97, 42.315, 41.88, 42.29, 18396130
07/28/25, 42.255, 42.265, 41.7025, 41.81, 22413500
07/25/25, 42.215, 42.3025, 42.055, 42.26, 16320480
07/24/25, 42.26, 42.3475, 42.04, 42.15, 22138140
07/23/25, 42.905, 43.01, 42.0325, 42.205, 40333020
07/22/25, 42.1675, 42.55, 42.055, 42.525, 23518280
07/21/25, 41.98, 42.265, 41.8425, 42.01, 19896072
07/18/25, 41.32, 42.02, 41.265, 41.875, 28627340
07/17/25, 40.99, 41.3075, 40.9225, 41.185, 19757382
07/16/25, 41.02, 41.1775, 40.6933, 41.015, 22625360
07/15/25, 41.385, 41.385, 40.7875, 40.995, 26253000
07/14/25, 41.195, 41.525, 40.97, 41.39, 23883480
07/11/25, 40.955, 41.3825, 40.84, 41.225, 22199820
07/10/25, 40.81, 41.3625, 40.685, 41.285, 29077440
07/09/25, 40.73, 41.03, 40.4425, 40.95, 40231040
07/08/25, 40.72, 40.72, 40.1725, 40.57, 44290122
07/07/25, 40.83, 41.0325, 40.745, 41.005, 20215640
07/03/25, 40.635, 41.085, 40.565, 40.92, 14900122
07/02/25, 40.82, 41.005, 40.42, 40.615, 21891000
07/01/25, 40.815, 41.00, 40.34, 40.97, 39690922
06/30/25, 40.47, 40.8725, 40.34, 40.83, 22018100
06/27/25, 40.69, 40.995, 40.54, 40.665, 25307720
06/26/25, 40.325, 40.605, 40.2475, 40.585, 18746760
06/25/25, 40.70, 40.70, 40.175, 40.25, 26771840
06/24/25, 40.665, 40.91, 40.5925, 40.795, 20390220
06/23/25, 40.32, 40.685, 40.235, 40.62, 25573040
06/20/25, 40.365, 40.72, 40.335, 40.39, 31688620
06/18/25, 40.27, 40.48, 40.07, 40.28, 22323940
06/17/25, 40.45, 40.55, 39.89, 40.175, 28336180
06/16/25, 40.91, 41.13, 40.3125, 40.51, 27266600
06/13/25, 40.885, 40.955, 40.59, 40.71, 25326120
06/12/25, 40.48, 40.9675, 40.46, 40.945, 19569490
06/11/25, 40.55, 40.6055, 40.3225, 40.455, 21395040
06/10/25, 40.44, 40.525, 40.1275, 40.43, 28052840
06/09/25, 40.525, 40.6775, 40.2675, 40.335, 24867260
06/06/25, 40.62, 40.6625, 40.2475, 40.595, 21267400
06/05/25, 40.595, 40.595, 40.3325, 40.415, 21175060
06/04/25, 41.13, 41.13, 40.48, 40.48, 33002340
06/03/25, 41.585, 41.585, 40.87, 41.20, 28547980
06/02/25, 40.785, 41.145, 40.62, 41.09, 26799540
05/30/25, 40.465, 41.03, 40.39, 40.96, 20680500
05/29/25, 40.285, 40.61, 40.105, 40.545, 20868420
05/28/25, 40.81, 40.83, 40.09, 40.265, 20954600
05/27/25, 40.845, 40.94, 40.5225, 40.835, 18494702
05/23/25, 40.32, 40.565, 39.85, 40.53, 21730800
05/22/25, 40.285, 40.285, 39.5825, 40.05, 30637680
05/21/25, 41.25, 41.3275, 40.55, 40.63, 22704840
05/20/25, 41.20, 41.525, 41.20, 41.385, 18075378
05/19/25, 40.745, 41.2825, 40.735, 41.265, 16306454
05/16/25, 40.555, 41.105, 40.455, 41.09, 20077040
05/15/25, 39.81, 40.6025, 39.785, 40.495, 26630020
05/14/25, 39.74, 39.7525, 39.055, 39.65, 22912820
05/13/25, 39.82, 40.135, 39.605, 39.825, 24063640
05/12/25, 40.3075, 40.41, 39.70, 39.88, 27460240
05/09/25, 40.155, 40.165, 39.86, 40.12, 17420360
05/08/25, 40.395, 40.495, 39.9925, 40.05, 22438620
05/07/25, 40.19, 40.61, 40.05, 40.375, 19576698
05/06/25, 39.78, 40.54, 39.745, 40.26, 20634940
05/05/25, 39.745, 39.895, 39.385, 39.775, 14895984
05/02/25, 39.71, 39.9925, 39.4925, 39.875, 16074208
05/01/25, 39.695, 40.0625, 39.435, 39.565, 17967074
04/30/25, 39.495, 39.585, 38.7675, 39.45, 18077152
04/29/25, 39.29, 39.715, 39.125, 39.65, 13168072
04/28/25, 39.125, 39.4225, 38.855, 39.345, 11084830
04/25/25, 39.26, 39.285, 38.93, 39.105, 14075354
04/24/25, 39.135, 39.405, 38.855, 39.225, 16828082
04/23/25, 39.385, 39.605, 38.81, 39.165, 27903840
04/22/25, 38.37, 39.085, 38.3389, 39.00, 21700780
04/21/25, 38.71, 38.755, 37.515, 37.965, 20780040
04/17/25, 38.64, 39.3725, 38.64, 38.885, 18928748
04/16/25, 38.935, 39.0825, 38.3625, 38.49, 17500758
04/15/25, 38.93, 39.185, 38.7925, 38.84, 15257160
04/14/25, 38.46, 38.9725, 38.235, 38.845, 19415564
04/11/25, 37.68, 38.2925, 37.215, 38.16, 28840020
04/10/25, 37.70, 38.14, 36.9175, 37.70, 44167762
04/09/25, 36.23, 38.0825, 35.51, 37.985, 70054898
04/08/25, 37.35, 37.615, 36.12, 36.545, 39600500
04/07/25, 36.695, 37.82, 35.8875, 36.695, 73162946
04/04/25, 39.645, 39.645, 37.02, 37.265, 66165422
04/03/25, 39.66, 40.105, 39.41, 39.46, 38650160
04/02/25, 39.495, 39.80, 39.295, 39.71, 12951172
04/01/25, 39.40, 39.64, 39.1425, 39.525, 18084708
03/31/25, 39.05, 39.5825, 39.04, 39.425, 21469940
03/28/25, 38.94, 39.2325, 38.87, 38.99, 19078578
03/27/25, 38.68, 39.025, 38.5888, 38.705, 13971850
03/26/25, 38.465, 38.805, 38.465, 38.715, 15164642
03/25/25, 39.045, 39.055, 38.2775, 38.46, 22395960
03/24/25, 39.25, 39.56, 39.05, 39.085, 13996838
03/21/25, 39.475, 39.665, 39.13, 39.375, 15627768
03/20/25, 39.475, 39.69, 39.39, 39.63, 16415144
03/19/25, 39.345, 39.525, 39.205, 39.47, 16163534
03/18/25, 39.365, 39.435, 39.07, 39.325, 19285522
03/17/25, 39.425, 39.8275, 39.23, 39.60, 19290432
03/14/25, 38.795, 39.48, 38.655, 39.435, 18269902
03/13/25, 38.715, 38.84, 38.435, 38.68, 16801792
03/12/25, 38.70, 38.925, 38.35, 38.585, 17432382
03/11/25, 39.05, 39.20, 38.50, 38.705, 32640380
